0,300,1,0
1,350,1,0
2,600,1,0
3,800,1,0
4,1250,2,0
5,1450,1,0
6,1680,1,0
7,1950,1,0
8,2300,1,0
9,2850,2,0
10,3310,1,0
11,3840,1,0
12,4450,1,0
13,5250,1,0
14,6510,2,0
15,7490,1,0
16,8610,1,0
17,9900,1,0
18,11600,1,0
19,14400,2,0
20,16600,1,0
21,19100,1,0
22,22000,1,0
23,25700,1,0
24,31900,2,0
25,36400,1,20
26,41500,1,21
27,47300,1,22
28,54900,1,23
29,68100,2,24
30,77600,1,30
31,88500,1,31
32,101000,1,32
33,117000,1,33
34,145000,2,34
35,164000,1,40
36,185000,1,41
37,209000,1,42
38,240000,1,43
39,298000,2,44
40,337000,1,50
41,381000,1,51
42,431000,1,52
43,496000,1,53
44,615000,2,54
45,695000,1,60
46,785000,1,61
47,887000,1,62
48,1020000,1,63
49,1260000,2,64
50,1420000,1,76
51,1600000,1,78
52,1810000,1,80
53,2080000,1,82
54,2580000,2,84
55,2920000,1,96
56,3300000,1,98
57,3730000,1,100
58,4290000,1,102
59,5320000,2,104
60,6010000,1,116
61,6790000,1,118
62,7670000,1,120
63,8820000,1,122
64,10900000,2,124
65,12300000,1,136
66,13900000,1,138
67,15700000,1,140
68,18100000,1,142
69,22400000,2,144
70,25300000,1,156
71,28600000,1,158
72,32300000,1,160
73,37100000,1,162
74,46000000,2,164
75,52000000,1,182
76,58800000,1,185
77,66400000,1,188
78,76400000,1,191
79,94700000,2,194
80,107000000,1,212
81,121000000,1,215
82,137000000,1,218
83,158000000,1,221
84,196000000,2,224
85,221000000,1,242
86,250000000,1,245
87,283000000,1,248
88,325000000,1,251
89,403000000,2,254
90,455000000,1,272
91,514000000,1,275
92,581000000,1,278
93,668000000,1,281
94,828000000,2,284
95,936000000,1,302
96,1060000000,1,305
97,1200000000,1,308
98,1380000000,1,311
99,1710000000,2,314
100,1930000000,1,338
101,2180000000,1,342
102,2460000000,1,346
103,2830000000,1,350
104,3510000000,2,354
105,3970000000,1,378
106,4490000000,1,382
107,5070000000,1,386
108,5830000000,1,390
109,7230000000,2,394
110,8170000000,1,418
111,9230000000,1,422
112,10400000000,1,426
113,12000000000,1,430
114,14900000000,2,434
115,16800000000,1,458
116,19000000000,1,462
117,21500000000,1,466
118,24700000000,1,470
119,30600000000,2,474
120,34600000000,1,498
121,39100000000,1,502
122,44200000000,1,506
123,50800000000,1,510
124,63000000000,2,514
125,71200000000,1,544
126,80500000000,1,549
127,91000000000,1,554
128,1.05E+11,1,559
129,1.3E+11,2,564
130,1.47E+11,1,594
131,1.66E+11,1,599
132,1.88E+11,1,604
133,2.16E+11,1,609
134,2.68E+11,2,614
135,3.03E+11,1,644
136,3.42E+11,1,649
137,3.86E+11,1,654
138,4.44E+11,1,659
139,5.51E+11,2,664
140,6.23E+11,1,694
141,7.04E+11,1,699
142,7.96E+11,1,704
143,9.15E+11,1,709
144,1.13E+12,2,714
145,1.28E+12,1,744
146,1.45E+12,1,749
147,1.64E+12,1,754
148,1.89E+12,1,759
149,2.34E+12,2,764
150,2.64E+12,1,800
151,2.98E+12,1,806
152,3.37E+12,1,812
153,3.88E+12,1,818
154,4.81E+12,2,824
155,5.44E+12,1,860
156,6.15E+12,1,866
157,6.95E+12,1,872
158,7.99E+12,1,878
159,9.91E+12,2,884
160,1.12E+13,1,920
161,1.27E+13,1,926
162,1.44E+13,1,932
163,1.66E+13,1,938
164,2.06E+13,2,944
165,2.33E+13,1,980
166,2.63E+13,1,986
167,2.97E+13,1,992
168,3.42E+13,1,998
169,4.24E+13,2,1004
170,4.79E+13,1,1040
171,5.41E+13,1,1046
172,6.11E+13,1,1052
173,7.03E+13,1,1058
174,8.72E+13,2,1064
175,9.85E+13,1,1106
176,1.11E+14,1,1113
177,1.25E+14,1,1120
178,1.44E+14,1,1127
179,1.79E+14,2,1134
180,2.02E+14,1,1176
181,2.28E+14,1,1183
182,2.58E+14,1,1190
183,2.97E+14,1,1197
184,3.68E+14,2,1204
185,4.16E+14,1,1246
186,4.7E+14,1,1253
187,5.31E+14,1,1260
188,6.11E+14,1,1267
189,7.58E+14,2,1274
190,8.57E+14,1,1316
191,9.68E+14,1,1323
192,1.09E+15,1,1330
193,1.25E+15,1,1337
194,1.55E+15,2,1344
195,1.75E+15,1,1386
196,1.98E+15,1,1393
197,2.24E+15,1,1400
198,2.58E+15,1,1407
199,3.20E+15,2,1414
200,3.62E+15,1,1462
201,4.09E+15,1,1470
202,4.62E+15,1,1478
203,5.31E+15,1,1486
204,6.58E+15,2,1494
